id_product;active;Name;"Categories (x,y,z...)";"Price tax excluded or Price tax included";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;"Minimal quantity";Visibility;"Additional shipping cost";Unity;"Unit price";"Short description";Description;"Tags (x,y,z...)";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";image_url;image_url2;"Delete existing images (0 = No, 1 = Yes)";"Feature (Name:Value:Position)";"Available online only (0 = No, 1 = Yes)";Cond;"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Out of stock";ID;"Action when out of stock";"Depends on stock";Warehouse
33;0;"Mayonesa, presentacion 900g";Alimentos,Salsas,Víveres;0.000000;0;0.000000;0;;;;;AS0011;;;;;;0.000000;0.000000;0.000000;0.000000;0.900000;1000;1;both;0.000000;;0.000000;;;;;;;mayonesa-presentacion-900g;;;1;;"2022-11-02 15:11:42";1;https://inversionesrpz.com/img/p/3/3/33.jpg;;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
34;1;"JABON LUX BOT VAINILLA 125G";Home;37.830000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;jabon-lux-bot-vainilla-125g;;;1;;"2023-10-31 14:59:08";1;https://inversionesrpz.com/img/p/1/1/2/8/1128.jpg;https://inversionesrpz.com/img/p/1/1/4/8/1148.jpg;0;;0;new;0;0;0;2;1;;;
35;1;"JABON PANELA ZAFIRO JUNIOR 100G";Home;8.410000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;jabon-panela-zafiro-junior-100g;;;1;;"2023-10-31 14:59:13";1;https://inversionesrpz.com/img/p/1/1/2/9/1129.jpg;https://inversionesrpz.com/img/p/1/1/4/9/1149.jpg;0;;0;new;0;0;0;2;1;;;
36;0;"JABON REXONA ANTIBACTERIAL BAMBOO 120";Home;0.000000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;jabon-rexona-antibacterial-bamboo-120;;;1;;"2023-10-31 14:59:13";1;https://inversionesrpz.com/img/p/1/1/3/0/1130.jpg;https://inversionesrpz.com/img/p/1/1/5/0/1150.jpg;0;;0;new;0;0;0;2;1;;;
37;1;"JABON REXONA ANTIBACTERIAL FRESH 3X1";Home;98.360000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;jabon-rexona-antibacterial-fresh-3x1;;;1;;"2023-10-31 14:59:13";1;https://inversionesrpz.com/img/p/1/1/3/1/1131.jpg;https://inversionesrpz.com/img/p/1/1/5/1/1151.jpg;0;;0;new;0;0;0;2;1;;;
38;1;"JUGO NATULAC MANZANA 500ML";Alimentos,Home,Víveres;50.440000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;jugo-natulac-manzana-500ml;;;1;;"2023-10-31 14:59:13";1;https://inversionesrpz.com/img/p/1/1/3/2/1132.jpg;https://inversionesrpz.com/img/p/1/1/5/2/1152.jpg;0;;0;new;0;0;0;2;1;;;
39;1;"JUGO NATULAC PERA 500ML";Alimentos,Home,Víveres;50.440000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;jugo-natulac-pera-500ml;;;1;;"2023-10-31 14:59:13";1;https://inversionesrpz.com/img/p/1/1/3/3/1133.jpg;https://inversionesrpz.com/img/p/1/1/5/3/1153.jpg;0;;0;new;0;0;0;2;1;;;
40;1;"Sal refinada, presentacion 1Kg.g.";aceite,Alimentos,Home,Víveres;102.810000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;1.000000;994;1;both;0.000000;;0.000000;;;;;;;sal-refinada-presentacion-1kgg;;;1;;"2022-11-02 15:11:46";1;https://inversionesrpz.com/img/p/2/6/3/263.jpg;;0;Presentación:Liquido:0;0;new;0;0;0;2;1;;;
41;0;"Sal refinada, presentacion 1Kg.g.";Home;0.000000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.250000;999;1;both;0.000000;;0.000000;;;;;;;sal-refinada-presentacion-1kgg;;;1;;"2022-11-02 15:11:46";1;https://inversionesrpz.com/img/p/2/6/4/264.jpg;;0;Presentación:Polvo:0;0;new;0;0;0;2;1;;;
42;1;"PASTA CAPRI DEDAL 1KG";Alimentos,Home,Pasta,Víveres;50.440000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;9999;1;both;0.000000;;0.000000;;;;;;;pasta-capri-dedal-1kg;;;1;;"2023-10-31 14:59:13";1;https://inversionesrpz.com/img/p/1/1/3/4/1134.jpg;https://inversionesrpz.com/img/p/1/1/5/4/1154.jpg;0;;0;new;0;0;0;2;1;;;
43;0;"SUAVIZANTE PERLA 1L";Home;0.000000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;suavizante-perla-1l;;;1;;"2023-10-31 14:59:13";1;https://inversionesrpz.com/img/p/1/1/3/5/1135.jpg;https://inversionesrpz.com/img/p/1/1/5/5/1155.jpg;0;;0;new;0;0;0;2;1;;;
44;1;"Salsa ketchup, presentacion de 198g";Alimentos,Home,Víveres;46.320000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.900000;995;1;both;0.000000;;0.000000;;;;;;;salsa-ketchup-presentacion-de-198g;;;1;;"2022-11-02 15:11:46";1;https://inversionesrpz.com/img/p/2/6/5/265.jpg;;0;Presentación:Polvo:0;0;new;0;0;0;2;1;;;
45;1;"Carne para bistek de primera";Carne,Home,Proteínas;96.500000;0;0.000000;0;;;;;P000031;;;;;;0.000000;0.000000;0.000000;0.000000;1.000000;976;1;both;0.000000;;0.000000;;;;;;;carne-para-bistek-de-primera;;;1;;"2022-11-02 15:11:46";1;https://inversionesrpz.com/img/p/1/3/0/130.jpg;;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
