"Product ID";Imagen;Nombre;Referencia;Categoría;"Precio (imp. excl.)";"Precio (imp. incl.)";Cantidad;Estado;Posición
106;https://inversionesrpz.com/107/crama-dental-colgate-plax.jpg;"Crema dental Colgate Plax";H00001;Higiene;16.480000;16.48;5000;0
107;https://inversionesrpz.com/135/bulto-de-harina-de-maiz-pan-amarilla-1-kg.jpg;"Bulto de Harina de maíz Pan amarilla 1 Kg";AV0053;"Productos al Mayor";220.000000;220;250;0
109;https://inversionesrpz.com/137/combo-quincenal.jpg;"Combo Quincenal";C00001;Inicio;250.000000;29.58;5000;0
114;https://inversionesrpz.com/138/harina-pan-blanca-1k.jpg;"Harina PAN de Maíz Blanca 1kg";AV0052;Inicio;13.480000;15.64;4997;0
115;https://inversionesrpz.com/140/harina-de-maiz-blanca-juana-1kg.jpg;"Harina de Maíz Blanca Juana 1Kg";AV0051;Inicio;11.000000;12.76;4999;0
116;https://inversionesrpz.com/141/harina-de-maiz-blanca-kaly-1kg.jpg;"Harina de Maíz Blanca Kaly 1Kg";AV0050;Inicio;11.990000;13.91;4999;0
117;https://inversionesrpz.com/142/harina-de-trigo-dulce-mar-leudante-1kg.jpg;"Harina de Trigo Dulce Mar Leudante 1Kg";AV0049;Inicio;14.480000;16.8;5000;0
118;https://inversionesrpz.com/143/harina-de-trigo-dulce-mar-todo-uso-1kg.jpg;"Harina de Trigo Dulce Mar Todo Uso 1Kg";AV0048;Inicio;14.480000;16.8;5000;0
119;https://inversionesrpz.com/144/harina-de-trigo-dona-maria-1kg.jpg;"Harina de Trigo Doña María 1Kg";AV0047;Inicio;14.480000;16.8;4999;0
120;https://inversionesrpz.com/145/harina-de-trigo-ronco-todo-uso-1kg.jpg;"Harina de Trigo Ronco Todo Uso 1Kg";AV0046;Inicio;15.980000;18.54;5000;0
121;https://inversionesrpz.com/146/harina-de-trigo-ronco-leudante-1kg.jpg;"Harina de Trigo Ronco Leudante 1Kg";AV0045;Inicio;17.480000;20.28;5000;0
122;https://inversionesrpz.com/147/aceite-de-maiz-mazeite-1l.jpg;"Aceite de Maíz  MAZEITE 1L";AV0044;Inicio;49.940000;57.93;5000;0
123;https://inversionesrpz.com/148/aceite-coamo-de-soya-900ml.jpg;"Aceite Coamo de Soya 900ml";AV0043;Inicio;24.370000;28.27;5000;0
124;https://inversionesrpz.com/149/aceite-corcovado-900ml.jpg;"Aceite Corcovado 900ml";AV0042;Inicio;22.470000;26.07;5000;0
126;https://inversionesrpz.com/150/aceite-vatel-soya-1l.jpg;"Aceite Vatel Soya 1L";AV0041;Inicio;29.970000;34.77;5000;0
127;https://inversionesrpz.com/151/aceite-vatel-soya-500ml.jpg;"Aceite Vatel Soya 500ml";AV0040;Inicio;0.000000;0;5000;0
128;https://inversionesrpz.com/152/aceitunas-casa-de-fruta-rellenas-180gr.jpg;"Aceitunas Casa De Fruta Rellenas 180gr";AV0039;Inicio;0.000000;0;5000;0
129;https://inversionesrpz.com/153/aceitunas-enteras-verdes-casa-de-fruta-240gr.jpg;"Aceitunas Enteras Verdes Casa De Fruta 240gr";AV0038;Inicio;0.000000;0;5000;0
130;https://inversionesrpz.com/154/avena-en-hojuelas-don-pancho-400gr.jpg;"Avena En Hojuelas Don Pancho 400gr";AC0016;Inicio;14.980000;17.38;5000;0
131;https://inversionesrpz.com/155/avena-en-hojuelas-pantera-400gr.jpg;"Avena En Hojuelas Pantera 400gr";AC0015;Inicio;10.990000;12.75;5000;0
132;https://inversionesrpz.com/156/avena-en-hojuelas-pantera-800gr.jpg;"Avena En Hojuelas Pantera 800gr";AC0014;Inicio;18.480000;21.44;5000;0
133;https://inversionesrpz.com/157/avena-en-hojuelas-quaker-200gr.jpg;"Avena En Hojuelas QUAKER 200gr";AC0013;Inicio;9.990000;11.59;5000;0
134;https://inversionesrpz.com/158/arroz-mary-superior-1kg.jpg;"Arroz Mary Superior 1Kg";AV0037;Inicio;9.990000;11.59;5000;0
135;https://inversionesrpz.com/159/arroz-mary-premium-1kg.jpg;"Arroz Mary Premium 1Kg";AV0036;Inicio;11.490000;13.33;5000;0
137;https://inversionesrpz.com/161/atun-margarita-en-aceite-140gr.jpg;"Atún Margarita en Aceite 140gr";AE0006;Inicio;23.970000;27.81;5000;0
139;https://inversionesrpz.com/162/atun-the-king-of-the-seas-170gr.jpg;"Atún The King Of The Seas 170gr";AE0005;Inicio;15.480000;17.96;5000;0
140;https://inversionesrpz.com/163/azucar-montalban-1kg.jpg;"Azúcar Montalbán 1Kg";AV0035;Inicio;13.480000;15.64;5000;0
141;https://inversionesrpz.com/164/azucar-la-pastora-1kg.jpg;"Azúcar La Pastora 1Kg";AV0034;Inicio;13.980000;16.22;5000;0
143;https://inversionesrpz.com/166/caraotas-negras-venela-500gr.jpg;"Caraotas Negras Venela 500Gr";AG0009;Inicio;0.000000;0;5000;0
144;https://inversionesrpz.com/167/caraotas-rojas-venela-500gr.jpg;"Caraotas Rojas Venela 500Gr.";AG0008;Inicio;20.980000;24.34;5000;0
146;https://inversionesrpz.com/168/caraotas-pantera-negras-454gr.jpg;"Caraotas Pantera Negras 454gr";AG0007;Inicio;12.490000;14.49;5000;0
147;https://inversionesrpz.com/169/caraotas-pantera-negras-900gr.jpg;"Caraotas Pantera Negras 900gr";AG0006;Inicio;23.970000;27.81;5000;0
