Product ID;Nombre;35.91;estado
213;Margarina Deline 500gr;78.81;1
212;Mayonesa Fergos 445gr;104.96;1
211;Mayonesa Fergos 175gr;53.50;1
210;Mayonesa Kraft 445gr;125.23;1
209;Mayonesa Mavesa 3.6kg;0.00;0
208;Salsa Tocineta Fritz 240 Gr.;0.00;0
207;Maizina Americana 800gr;165.18;1
206;Maizina Americana 200gr;53.80;1
205;Maizina Americana 90gr;26.39;1
204;Leche Liquida Completa La Pastoreña 1L;63.66;1
203;Leche Liquida Descremada La Pastoreña 1L;63.66;1
202;Leche Liquida Completa Purisima 1L;59.25;1
201;Leche Liquida Descremada Purisima 1L;0.00;0
200;TEA 327 COLLAR PERRO GRANDE;614.06;1
199;Leche En Polvo Completa Dobon 400gr.;98.95;1
198;TEA 327 COLLAR CACHORRO;481.79;1
197;Leche En Polvo Completa Do Bon 200gr;51.62;1
196;Leche En Polvo Completa Do Bon 120gr;64.52;1
195;Leche En Polvo Semidescremada La Campiña 900gr;0.00;0
194;Leche En Polvo La Campiña 900gr;371.67;1
193;COLIRIO ANTIBIOTICO 10ML;272.91;1
192;Leche En Polvo Completa La Campestre 500gr;200.96;1
191;COLAMOXIL DR PET;335.17;1
190;Leche En Polvo Completa La Campestre900gr;340.69;1
189;CIPZY;47.89;1
188;Lentejas Pantera 900gr;104.36;1
187;Lentejas Pantera 500gr;0.00;0
186;Lentejas Venela  500gr;44.25;1
185;Diablitos Under Wood 115gr;86.19;1
184;Diablitos Under Wood 54gr;46.32;1
183;CIPROFLOXACINA 250G;216.66;1
182;Bulto de Arroz Mary;0.00;0
181;Pasta Vermicelli Mary 1Kg;0.00;0
180;Pasta Vermicelli Horizonte 1Kg;0.00;0
179;Pasta Vermicelli Allegri 1Kg;51.27;1
178;CAT TAB PLUS;77.20;1
177;Pasta Mary Plumitas 1Kg;0.00;0
176;Pasta Allegri Codos 1Kg;0.00;0
175;Crema de Arroz Polly 450gr;0.00;0
174;Crema de Arroz Mary 450gr;33.55;1
173;Crema de Arroz Agua Blanca 450gr;31.96;1
172;Nestle Cerelac Sachet 900gr;0.00;0
171;Nestle Cerelac Sachet 400gr;0.00;0
170;AGRO HERMES CARPROFENO 50MG;299.26;1
169;Nestle Cerelac 100gr;55.14;1
168;Cafe molido Fama de America 500gr;123.20;1
167;Cafe molido Fama de America 250gr;97.27;1
166;Cafe molido Fama de America 200gr;56.99;1
165;Cafe molido Fama de America 100gr;30.89;1
164;Cafe molido Madrid 500gr;139.03;1
163;Cafe molido Madrid 250gr;70.00;1
162;BUCOMORGYL;426.74;1
161;Cafe molido Madrid 100gr;27.41;1
160;Cafe molido Flor de Arauca 250gr;0.00;0
159;Cafe molido Arauca 200gr;63.87;1
158;Cafe molido Arauca 100gr.;59.25;1
157;BRAVECTO PLUS GATO 6,25-12,5KG;1.99;1
156;Cafe molido Amanecer 500gr;163.12;1
155;Cafe molido Amanecer 200gr;63.49;1
154;BRAVECTO PLUS GATO 1,2-2,8KG;1.53;1
153;Cafe molido Amanecer 100gr;32.96;1
152;Cafe molido Brasil 500gr;0.00;0
151;BISAK;155.01;1
150;Cafe molido Brasil 200gr;73.98;1
149;B-COMPLEX ORAL;108.32;1
148;Cafe molido Brasil 100gr;0.00;0
147;Caraotas Negras Pantera  900gr;88.10;1
146;Caraotas Negras Pantera 454gr;46.37;1
145;BASKEN SUSPENSIÓN;380.64;1
144;Caraotas Rojas Venela 500gr;0.00;0
143;Caraotas Negras Venela 500gr;40.07;1
142;BASKEN CACHORRO SUSPENSION;380.64;1
141;Azucar Refinada La Pastora 1Kg;0.00;0
140;Azucar Refinada Montalban 1Kg;50.09;1
139;Atun The King Of The Seas 170gr;52.91;1
138;BASKEN PLUS GATO;194.51;1
137;Atun Margarita en Aceite 140gr;0.00;0
136;BASKEN PLUS PERRO CHICO;233.43;1
135;Arroz Mary Premium 1Kg;55.92;1
134;Arroz Mary Superior 1Kg;44.57;1
133;Avena en Hojuelas QUAKER 200gr;0.00;0
132;Avena en Hojuelas Pantera 800gr;76.40;1
131;Avena en Hojuelas Pantera 400gr;39.41;1
130;Avena en Hojuelas Don Pancho 400gr;37.86;1
129;Aceitunas Enteras Verdes Casa De Fruta 240gr;0.00;0
128;Aceitunas Casa De Fruta Rellenas 180gr;0.00;0
127;Aceite de Soya Vatel 500ml;75.41;1
126;Aceite de Soya Vatel 1L;102.55;1
125;BASKEN DOBLE 20;53.68;1
124;Aceite de Soya Corcovado 900ml;0.00;0
123;Aceite de Soya Coamo  900ml;81.56;1
122;Aceite de Maiz  MAZEITE 1L;137.31;1
121;Harina de Trigo Ronco Leudante 1Kg;53.88;1
