Product ID;Imagen;Nombre;Referencia;Categoría;Precio (imp. excl.);activo
134;https://inversionesrpz.com/158/arroz-mary-superior-1kg.jpg;Arroz Mary Superior 1Kg;AV0037;Inicio;0;0
133;https://inversionesrpz.com/157/avena-en-hojuelas-quaker-200gr.jpg;Avena en Hojuelas QUAKER 200gr;AC0013;Inicio;0;0
132;https://inversionesrpz.com/156/avena-en-hojuelas-pantera-800gr.jpg;Avena en Hojuelas Pantera 800gr;AC0014;Inicio;61.8;1
131;https://inversionesrpz.com/155/avena-en-hojuelas-pantera-400gr.jpg;Avena en Hojuelas Pantera 400gr;AC0015;Inicio;30.27;1
130;https://inversionesrpz.com/154/avena-en-hojuelas-don-pancho-400gr.jpg;Avena en Hojuelas Don Pancho 400gr;AC0016;Inicio;50.45;1
129;https://inversionesrpz.com/153/aceitunas-enteras-verdes-casa-de-fruta-240gr.jpg;Aceitunas Enteras Verdes Casa De Fruta 240gr;AV0038;Inicio;0;0
128;https://inversionesrpz.com/152/aceitunas-casa-de-fruta-rellenas-180gr.jpg;Aceitunas Casa De Fruta Rellenas 180gr;AV0039;Inicio;0;0
127;https://inversionesrpz.com/151/aceite-vatel-soya-500ml.jpg;Aceite de Soya Vatel 500ml;AV0040;Inicio;49.82;1
126;https://inversionesrpz.com/150/aceite-vatel-soya-1l.jpg;Aceite de Soya Vatel 1L;AV0041;Inicio;95.22;1
124;https://inversionesrpz.com/149/aceite-corcovado-900ml.jpg;Aceite de Soya Corcovado 900ml;AV0042;Inicio;0;0
123;https://inversionesrpz.com/148/aceite-coamo-de-soya-900ml.jpg;Aceite de Soya Coamo  900ml;AV0043;Inicio;74.41;1
122;https://inversionesrpz.com/147/aceite-de-maiz-mazeite-1l.jpg;Aceite de Maiz  MAZEITE 1L;AV0044;Inicio;129.23;1
